"Date"   , "WeekDay"   , "Holiday Name"                      , "Holiday Type"
"Jan 1"  , "Thursday"  , "New Year's Day"                    , "National Holiday"
"Feb 14" , "Saturday"  , "Carnival Saturday"                 , "Observance"
"Feb 15" , "Sunday"    , "Carnival Sunday"                   , "Observance"
"Feb 16" , "Monday"    , "Carnival Monday"                   , "Optional Holiday"
"Feb 17" , "Tuesday"   , "Carnival Tuesday"                  , "Optional Holiday"
"Feb 18" , "Wednesday" , "Carnival end (until 2pm)"          , "Optional Holiday"
"Mar 20" , "Friday"    , "March Equinox"                     , "Season"
"Apr 3"  , "Friday"    , "Good Friday"                       , "National Holiday"
"Apr 5"  , "Sunday"    , "Easter Sunday"                     , "Observance"
"Apr 21" , "Tuesday"   , "Tiradentes Day"                    , "National Holiday"
"May 1"  , "Friday"    , "Labor Day / May Day"               , "National Holiday"
"May 10" , "Sunday"    , "Mother's Day"                      , "Observance"
"Jun 4"  , "Thursday"  , "Corpus Christi"                    , "Optional Holiday"
"Jun 12" , "Friday"    , "Brazilian Valentine's Day"         , "Observance"
"Jun 21" , "Sunday"    , "June Solstice"                     , "Season"
"Aug 9"  , "Sunday"    , "Father's Day"                      , "Observance"
"Sep 7"  , "Monday"    , "Independence Day"                  , "National Holiday"
"Sep 23" , "Wednesday" , "September Equinox"                 , "Season"
"Oct 12" , "Monday"    , "Our Lady Aparecida/Children's Day" , "National Holiday"
"Oct 15" , "Thursday"  , "Teacher's Day"                     , "Observance"
"Oct 28" , "Wednesday" , "Public Service Holiday"            , "Optional Holiday"
"Nov 2"  , "Monday"    , "All Souls' Day"                    , "National Holiday"
"Nov 15" , "Sunday"    , "Republic Proclamation Day"         , "National Holiday"
"Nov 20" , "Friday"    , "Black Consciousness Day"           , "Observance"
"Dec 22" , "Tuesday"   , "December Solstice"                 , "Season"
"Dec 24" , "Thursday"  , "Christmas Eve (from 2pm)"          , "Optional Holiday"
"Dec 25" , "Friday"    , "Christmas Day"                     , "National Holiday"
"Dec 31" , "Thursday"  , "New Year's Eve (from 2pm)"         , "Optional Holiday"
